customer_id,order_date,order_id,hub_id,product_id,sales
335772,11-05-2019,10240668,4,15865,21
336106,11-05-2019,10240669,4,2,21
336106,11-05-2019,10240669,4,1,52
336106,11-05-2019,10240669,4,5351,89
336106,11-05-2019,10240669,4,11972,85
336243,11-05-2019,10240670,4,15858,42
336263,11-05-2019,10240671,4,2,42
336233,11-05-2019,10240672,4,15858,21
336233,11-05-2019,10240672,4,25007,25
336233,11-05-2019,10240672,4,1,52
336657,11-05-2019,10240673,4,14,64
336723,11-05-2019,10240674,4,1,52
337122,11-05-2019,10240675,4,2,42
336385,11-05-2019,10240676,4,15865,42
337566,11-05-2019,10240677,4,2,21
337799,11-05-2019,10240678,4,15865,21
337799,11-05-2019,10240678,4,25007,25
337799,11-05-2019,10240678,4,2,21
337799,11-05-2019,10240678,4,9339,25
337427,11-05-2019,10240679,4,2,84
337875,11-05-2019,10240680,4,1,26
337335,11-05-2019,10240681,4,15858,42
338469,11-05-2019,10240682,4,1,52
338830,11-05-2019,10240683,4,1,26
339126,11-05-2019,10240684,4,2,21
339126,11-05-2019,10240684,4,1,26
339140,11-05-2019,10240685,4,15865,42
339273,11-05-2019,10240686,4,1,26
338024,11-05-2019,10240687,4,14,64
337672,11-05-2019,10240688,4,25009,20
337672,11-05-2019,10240688,4,2,42
337672,11-05-2019,10240688,4,1,52
340665,11-05-2019,10240690,4,2,21
340665,11-05-2019,10240690,4,1,52
340738,11-05-2019,10240693,4,2,21
337411,11-05-2019,10240695,4,25310,63
341835,11-05-2019,10240698,4,1,52
339331,11-05-2019,10240700,4,15858,84
337362,11-05-2019,10240702,4,1,26
342994,11-05-2019,10240706,4,14,64
342994,11-05-2019,10240706,4,12456,35
342994,11-05-2019,10240706,4,5013,49
342994,11-05-2019,10240706,4,6988,35
342994,11-05-2019,10240706,4,5036,24
342994,11-05-2019,10240706,4,5027,43
339895,11-05-2019,10240709,4,15894,46
344282,11-05-2019,10240714,4,1,26
344616,11-05-2019,10240719,4,7248,55
344616,11-05-2019,10240719,4,17929,48
344616,11-05-2019,10240719,4,16151,40
340650,11-05-2019,10240724,4,7588,15
340650,11-05-2019,10240724,4,15865,21
340650,11-05-2019,10240724,4,15869,70
340650,11-05-2019,10240724,4,25007,25
340650,11-05-2019,10240724,4,9339,50
340650,11-05-2019,10240724,4,5259,20
340650,11-05-2019,10240724,4,5080,32
340302,11-05-2019,10240731,4,12569,60
340302,11-05-2019,10240731,4,25306,28
344414,11-05-2019,10240736,4,25304,42
341276,11-05-2019,10240739,4,2,21
341002,11-05-2019,10240743,4,1,52
339049,11-05-2019,10240748,4,10632,14
